DR56,GPP_B8/ISH_I2C1_SCL/I2C3_SCL,I,-9943.1,13032.7,PCH GPIOs,
DR58,GPP_B7/ISH_I2C1_SDA/I2C3_SDA,I,-10890.4,13076.3,PCH GPIOs,
DT57,GPP_B6/ISH_I2C0_SCL/I2C2_SCL,I,-10517.1,13656.8,PCH GPIOs,
DT56,GPP_B5/ISH_I2C0_SDA/I2C2_SDA,I,-9866.1,13679.6,PCH GPIOs,
EB56,GPP_B4/PROC_GP3/ISH_GP5B,I,-9866.1,16157.8,PCH GPIOs,
EB57,GPP_B3/PROC_GP2/ISH_GP4B,I,-10517.1,16135,PCH GPIOs,
EF41,GPP_B23/SML1ALERT#/PCHHOT#,O,-3914.8,17780.9,PCH GPIOs,
DT59,GPP_B2/VRALERT#,I,-11162.2,13740,PCH GPIOs,
DT61,GPP_B18,I,-11940,13798.6,PCH GPIOs,
DN60,GPP_B17/I2C5_SCL/ISH_I2C2_SCL,I,-11424.8,12584.7,PCH GPIOs,
DN57,GPP_B16/I2C5_SDA/ISH_I2C2_SDA,I,-10421.2,12588.5,PCH GPIOs,
DY61,GPP_B15/TIME_SYNC0/ISH_GP7,I,-11940,15084.8,PCH GPIOs,
DW56,GPP_B14/SPKR/TIME_SYNC1/SATA_LED#/ISH_GP6,I,-9866.1,14973.7,PCH GPIOs,
DW57,GPP_B13/PLTRST#,O,-10536.1,14964.6,PCH GPIOs,
DW59,GPP_B12/SLP_S0#,O,-11250.2,14948.4,PCH GPIOs,
EA56,GPP_B11/PMCALERT#,I/O or IOD,-10159.9,15554.5,PCH GPIOs,"IO Type: I/O for GPP, IOD for PMC"
EA58,GPP_B1/CORE_VID1,O,-10810.4,15554.5,PCH GPIOs,
EA60,GPP_B0/CORE_VID0,O,-11458.8,15604.5,PCH GPIOs,
