FB45,RSVD,N/A,-5607.4,24058.1,N/A,
FC9,RSVD,N/A,8873.5,24440,N/A,
FC7,RSVD,N/A,9530,24440,N/A,
EC18,RSVD,N/A,5094.2,16480.9,N/A,
EH41,RSVD,N/A,-3914.8,18430.9,N/A,
EF33,RSVD,N/A,-911.8,17780.9,N/A,
EE46,RSVD,N/A,-5916.8,17130.9,N/A,
DT42,RSVD,N/A,-4567.4,13503.4,N/A,
BG53,RSVD,N/A,-8852.6,-5905,N/A,
BG47,RSVD,N/A,-6559,-5905,N/A,
AL40,RSVD,N/A,-3512.1,-12301.9,N/A,
AL30,RSVD,N/A,488.9,-12301.9,N/A,
AK40,RSVD,N/A,-3512.1,-12951.9,N/A,
AK22,RSVD,N/A,3491.9,-12951.9,N/A,

AH20,RSVD,N/A,4492.9,-13601.9,N/A,
AF27,RSVD,N/A,1489.9,-14251.9,N/A,
EH48,RSVD,N/A,-6917.8,18430.9,N/A,
EF53,RSVD,N/A,-8919.8,17780.9,N/A,
EF51,RSVD,N/A,-7918.8,17780.9,N/A,
EF48,RSVD,N/A,-6917.8,17780.9,N/A,
FB3,RSVD,N/A,11312,23812,N/A,
FC6,RSVD,N/A,10180,24440,N/A,
AK27,RSVD,N/A,1489.9,-12951.9,N/A,
AH27,RSVD,N/A,1489.9,-13601.9,N/A,
R4,RSVD,N/A,10727,-18768.8,N/A,
EU61,RSVD,N/A,-11940,22030,N/A,
DL1,RSVD,N/A,11940,11456.2,N/A,
DL3,RSVD,N/A,11290,11456.2,N/A,
