ED10,PCIE10_TXP/UFS11_TXP,O,8538.2,16852.2,PCH Interfaces,
ED11,PCIE10_TXN/UFS11_TXN,O,7888.2,16852.2,PCH Interfaces,
EC1,PCIE10_RXP/UFS11_RXP,I,11940,16361.1,PCH Interfaces,
EC3,PCIE10_RXN/UFS11_RXN,I,11290,16361.1,PCH Interfaces,
EF10,PCIE9_TXP/UFS10_TXP,O,8538.2,17703.2,PCH Interfaces,
EF11,PCIE9_TXN/UFS10_TXN,O,7888.2,17703.2,PCH Interfaces,
EF5,PCIE9_RXP/UFS10_RXP,I,10516.6,17588.2,PCH Interfaces,
EF6,PCIE9_RXN/UFS10_RXN,I,9866.6,17588.2,PCH Interfaces,
EH10,PCIE8_TXP,O,8538.2,18554.2,PCH Interfaces,
EH11,PCIE8_TXN,O,7888.2,18554.2,PCH Interfaces,
EF1,PCIE8_RXP,I,11940,17699.3,PCH Interfaces,
EF3,PCIE8_RXN,I,11290,17699.3,PCH Interfaces,
EL10,PCIE7_TXP,O,8538.2,19405.2,PCH Interfaces,
EL11,PCIE7_TXN,O,7888.2,19405.2,PCH Interfaces,
EG4,PCIE7_RXP,I,10810.4,18169,PCH Interfaces,
EG6,PCIE7_RXN,I,10160.4,18169,PCH Interfaces,
EN10,PCIE6_TXP,O,8538.2,20256.2,PCH Interfaces,
EN11,PCIE6_TXN,O,7888.2,20256.2,PCH Interfaces,
EJ5,PCIE6_RXP,I,10516.6,18774.3,PCH Interfaces,
EJ6,PCIE6_RXN,I,9866.6,18774.3,PCH Interfaces,
ER10,PCIE5_TXP,O,8538.2,21107.2,PCH Interfaces,
ER11,PCIE5_TXN,O,7888.2,21107.2,PCH Interfaces,
EJ1,PCIE5_RXP,I,11940,18856.3,PCH Interfaces,
EJ3,PCIE5_RXN,I,11290,18856.3,PCH Interfaces,
GAP,1
DP1,CLKOUT_PCIE_P6,O,11940,12758.9,PCH GPIOs,
DP3,CLKOUT_PCIE_N6,O,11290,12758.9,PCH GPIOs,
DU5,CLKOUT_PCIE_P5,O,10516.6,13808.9,PCH GPIOs,
DU6,CLKOUT_PCIE_N5,O,9866.6,13808.9,PCH GPIOs,
DP5,CLKOUT_PCIE_P4,O,10516.6,12647.8,PCH GPIOs,
DP6,CLKOUT_PCIE_N4/UFS_REF_CLK,O,9866.6,12647.8,PCH GPIOs,
DN10,CLKOUT_PCIE_P3,O,8538.2,12597.2,PCH GPIOs,
DN11,CLKOUT_PCIE_N3,O,7888.2,12597.2,PCH GPIOs,
DR4,CLKOUT_PCIE_P2,O,10810.4,13228.6,PCH GPIOs,
DR6,CLKOUT_PCIE_N2,O,10160.4,13228.6,PCH GPIOs,
GAP,1
EF31,GPP_F19/SRCCLKREQ6#,I,89.2,17780.9,PCH GPIOs,
ET43,GPP_H23/SRCCLKREQ5#,I/O or IOD,-4915.8,21680.9,PCH GPIOs,"IO Type: I/O for GPP, IOD for SRCCLKREQ"
ER48,GPP_H19/SRCCLKREQ4#,I/O or IOD,-6917.8,21030.9,PCH GPIOs,"IO Type: I/O for GPP, IOD for SRCCLKREQ"
FC34,GPP_D8/SRCCLKREQ3#,I,-1239.5,24440,PCH GPIOs,
FC31,GPP_D7/SRCCLKREQ2#,I,106.6,24440,PCH GPIOs,
