AB31,VSS,GND,192.9,-15876.9,Power,
AB35,VSS,GND,-1767.1,-15876.9,Power,
AB54,VSS,GND,-9236.2,-16163.9,Power,
AC4,VSS,GND,10727,-15518.8,Power,
AC6,VSS,GND,10038.2,-15488.8,Power,
AC8,VSS,GND,9388.2,-15488.8,Power,
AC40,VSS,GND,-3529,-15565,Power,
AC44,VSS,GND,-5179,-15605.1,Power,
AC51,VSS,GND,-8152.8,-15530.1,Power,
AC55,VSS,GND,-9750,-15515,Power,
AD21,VSS,GND,4112.9,-15226.9,Power,
AD26,VSS,GND,2152.9,-15226.9,Power,
AD31,VSS,GND,192.9,-15226.9,Power,
AD35,VSS,GND,-1767.1,-15226.9,Power,
AD46,VSS,GND,-5882.2,-15190,Power,
AD48,VSS,GND,-6983.6,-15190,Power,
AD58,VSS,GND,-10919.6,-15190,Power,
AE9,VSS,GND,8738.2,-14637.8,Power,
AE12,VSS,GND,7469.4,-14901.9,Power,
AE17,VSS,GND,5509.4,-14901.9,Power,
AE22,VSS,GND,3549.4,-14901.9,Power,
AE27,VSS,GND,1589.4,-14901.9,Power,
AE32,VSS,GND,-370.6,-14901.9,Power,
AE37,VSS,GND,-2330.6,-14901.9,Power,
AE40,VSS,GND,-3529,-14915,Power,
AE44,VSS,GND,-5102.8,-14692.8,Power,
AE52,VSS,GND,-8202.6,-14692.8,Power,
AF4,VSS,GND,10727,-14218.8,Power,
AF46,VSS,GND,-5892,-14212.6,Power,
AG1,VSS,GND,11940,-13893.8,Power,
AG51,VSS,GND,-8152.8,-13855.5,Power,
AG55,VSS,GND,-9750,-13870.6,Power,
AG58,VSS,GND,-10919.6,-14195.6,Power,
AH9,VSS,GND,8738.2,-13786.8,Power,
AJ3,VSS,GND,11290,-13243.8,Power,
AJ41,VSS,GND,-4123.4,-13234,Power,
AJ47,VSS,GND,-6592.4,-13287,Power,
AJ49,VSS,GND,-7331.4,-13193.9,Power,
AJ54,VSS,GND,-9236.2,-13221.7,Power,
AK4,VSS,GND,10727,-12918.8,Power,
AK9,VSS,GND,8738.2,-12935.8,Power,
AK20,VSS,GND,4492.9,-12951.9,Power,
AK25,VSS,GND,2490.9,-12951.9,Power,
AK30,VSS,GND,488.9,-12951.9,Power,
AK37,VSS,GND,-2514.1,-12951.9,Power,
AK57,VSS,GND,-10442,-12896.7,Power,
AK59,VSS,GND,-11377,-12896.7,Power,
AL4,VSS,GND,10727,-12268.8,Power,
AL15,VSS,GND,6494.9,-12517.9,Power,
AL17,VSS,GND,5493.9,-12301.9,Power,
AL22,VSS,GND,3491.9,-12301.9,Power,
AL41,VSS,GND,-4123.4,-12584,Power,
AL54,VSS,GND,-9236.2,-12571.7,Power,
AM3,VSS,GND,11290,-11943.8,Power,
AM9,VSS,GND,8738.2,-12084.8,Power,
AM11,VSS,GND,8113.8,-11884.9,Power,
AM51,VSS,GND,-8152.8,-11937.9,Power,
AM55,VSS,GND,-9750,-11922.8,Power,
AN17,VSS,GND,5493.9,-11651.9,Power,
AN40,VSS,GND,-3512.1,-11651.9,Power,
AN46,VSS,GND,-5882.2,-11597.8,Power,
AN48,VSS,GND,-6983.6,-11597.8,Power,
AN58,VSS,GND,-10919.6,-11597.8,Power,
AP1,VSS,GND,11940,-11293.8,Power,
AP9,VSS,GND,8738.2,-11233.8,Power,
AP15,VSS,GND,6439.9,-11217.9,Power,
AP20,VSS,GND,4492.9,-11001.9,Power,
AP22,VSS,GND,3491.9,-11001.9,Power,
AP25,VSS,GND,2490.9,-11001.9,Power,
AP35,VSS,GND,-1513.1,-11001.9,Power,
AP51,VSS,GND,-8152.8,-11257.7,Power,
AP55,VSS,GND,-9750,-11272.8,Power,
AR4,VSS,GND,10727,-10968.8,Power,
AR54,VSS,GND,-9236.2,-10623.9,Power,
AT6,VSS,GND,10038.2,-10382.8,Power,
AT8,VSS,GND,9388.2,-10382.8,Power,
AT47,VSS,GND,-6428,-10298.9,Power,
AT57,VSS,GND,-10442,-10298.9,Power,
AT59,VSS,GND,-11377,-10298.9,Power,
AU54,VSS,GND,-9236.2,-9973.9,Power,
AV4,VSS,GND,10727,-9668.8,Power,
AV9,VSS,GND,8738.2,-9531.8,Power,
AV11,VSS,GND,8088.2,-9531.8,Power,
AW1,VSS,GND,11940,-9343.8,Power,
AW14,VSS,GND,6946.7,-9106.3,Power,
AW51,VSS,GND,-8152.8,-9340.1,Power,
AW55,VSS,GND,-9750,-9325,Power,
AY1,VSS,GND,11940,-8693.8,Power,
AY9,VSS,GND,8738.2,-8680.8,Power,
AY43,VSS,GND,-4678.6,-9000,Power,
AY46,VSS,GND,-5882.2,-9000,Power,
AY48,VSS,GND,-6983.6,-9000,Power,
AY51,VSS,GND,-8152.8,-8659.9,Power,
AY55,VSS,GND,-9750,-8675,Power,
AY58,VSS,GND,-10919.6,-9000,Power,
BA4,VSS,GND,10727,-8368.8,Power,
BB6,VSS,GND,10038.2,-7829.8,Power,
BB8,VSS,GND,9388.2,-7829.8,Power,
BB9,VSS,GND,8738.2,-7829.8,Power,

BB12,VSS,GND,7438.2,-7829.8,Power,
BB54,VSS,GND,-9236.2,-8026.1,Power,
BC14,VSS,GND,6946.7,-7404.3,Power,
BC47,VSS,GND,-6428,-7701.1,Power,
BC57,VSS,GND,-10442,-7701.1,Power,
BC59,VSS,GND,-11377,-7701.1,Power,
BD4,VSS,GND,10727,-7068.8,Power,
BD54,VSS,GND,-9236.2,-7376.1,Power,
BE1,VSS,GND,11940,-6743.8,Power,
BE9,VSS,GND,8738.2,-6978.8,Power,
BE12,VSS,GND,7438.2,-6978.8,Power,
BE51,VSS,GND,-8152.8,-6742.3,Power,
BE55,VSS,GND,-9750,-6727.2,Power,
BF46,VSS,GND,-5882.2,-6402.2,Power,
BF48,VSS,GND,-6983.6,-6402.2,Power,
BF58,VSS,GND,-10919.6,-6402.2,Power,
BG1,VSS,GND,11940,-6093.8,Power,
BG9,VSS,GND,8738.2,-6127.8,Power,
BG12,VSS,GND,7438.2,-6127.8,Power,
BG44,VSS,GND,-5102.8,-5905,Power,
BG52,VSS,GND,-8202.6,-5905,Power,
BH4,VSS,GND,10727,-5768.8,Power,
BH46,VSS,GND,-5882.2,-5407.8,Power,
BH48,VSS,GND,-6983.6,-5407.8,Power,
BH58,VSS,GND,-10919.6,-5407.8,Power,
BJ6,VSS,GND,10038.2,-5276.8,Power,
BJ8,VSS,GND,9388.2,-5276.8,Power,
BJ9,VSS,GND,8738.2,-5276.8,Power,
BJ51,VSS,GND,-8152.8,-5067.7,Power,
BJ55,VSS,GND,-9750,-5082.8,Power,
BL4,VSS,GND,10727,-4468.8,Power,
BL9,VSS,GND,8738.2,-4425.8,Power,
BL11,VSS,GND,8088.2,-4425.8,Power,
BL54,VSS,GND,-9236.2,-4433.9,Power,
BM1,VSS,GND,11940,-4143.8,Power,
BM14,VSS,GND,6946.7,-4000.3,Power,
BM47,VSS,GND,-6425,-4106,Power,
BM57,VSS,GND,-10442,-4108.9,Power,
BM59,VSS,GND,-11377,-4108.9,Power,
BN1,VSS,GND,11940,-3493.8,Power,
BN9,VSS,GND,8738.2,-3574.8,Power,
BN54,VSS,GND,-9236.2,-3783.9,Power,
BP4,VSS,GND,10727,-3168.8,Power,
BP51,VSS,GND,-8152.8,-3150.1,Power,
BP55,VSS,GND,-9750,-3135,Power,
